Rank,Ticker,Sector,Price,Chg1D%,EdgeScore,Tier,WyckoffPhase,Setup,PricePosition,GEXScale,GEXClass,GammaFlip,PutWall,CallWall,IVRank,IVImplied,VolRatio,PutCall,Change%,EMA21,SMA50,SMA200,DaysToEarnings,Badge,Past5%,EMA9,Gap9%,SetupPass,WhyBullish,HistWin%,HistAvg%,HistExcess%,BacktestN
85,PINS,Interactive Media & Services,18.47,0.44,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,18.75,18,19.5,30,46.6,0.98,6.82,0.33,20.12,22.29,21.59,40,NEUTRAL,-1.018220793,19.04,-2.993697479,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,51.53,0.43,0.2,1898
86,PYPL,Financials (Digital Payments),52.51,-0.72,6,B - Edge,Distribution,[UPTHRUST] (SOW),Bottom 33%,-2,Neutral / Transition Zone,52.5,50,55,26,33.8,0.84,0.88,-0.36,54.5,56.68,50.62,33,NEUTRAL,-0.379434642,53.22,-1.33408493,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral),51.53,0.43,0.2,1898
87,CELH,Consumer Discretionary (Beverages),29.18,-0.71,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,29.5,29,30,23,51.4,0.61,0.5,-0.97,29.28,29.59,37.12,42,NEUTRAL,3.292035398,28.6,2.027972028,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,51.53,0.43,0.2,1898
88,RGTI,Technology (Quantum Computing),16,-3.15,6,B - Edge,Distribution,[UPTHRUST] (SOW),Middle,1,Neutral / Transition Zone,16.25,15.5,17,7,71.4,1.69,0.36,-3.03,15.87,15.95,18.82,46,NEUTRAL,8.181203516,15.84,1.01010101,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200,51.53,0.43,0.2,1898
89,AAOI,Technology (Quantum Computing),101.06,-5.55,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,102.5,100,105,6,86.8,0.94,0.37,-5.12,107.07,112.42,105.49,42,NEUTRAL,4.465577838,103.95,-2.78018278,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,51.53,0.43,0.2,1898
90,CBRE,Real Estate Services,136.4,-3.33,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,147.5,145,150,,,,,,,,,,NEUTRAL,-1.629886052,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,51.53,0.43,0.2,1898
91,TTWO,Interactive Home Entertainment,206.32,0.38,6,B - Edge,Mark-down,[MARKDOWN],Bottom 33%,2,Neutral / Transition Zone,210,200,220,,,,,,,,,,NEUTRAL,-2.591945612,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,51.53,0.43,0.2,1898
92,PSX,Oil & Gas Refining & Marketing,256.48,-0.12,5,C - Marginal,Mark-up,[UPTREND],Middle,-1,Neutral / Transition Zone,265,265,265,100,44.2,1.37,1.11,0.09,254.58,231.22,178.78,34,NEUTRAL,-3.079771757,262.3,-2.218833397,FALSE,+2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); -2 Mark-up phase,50.55,0.06,-0.18,1911
93,VLO,Oil & Gas Refining & Marketing,375.84,-0.34,5,C - Marginal,Mark-up,[UPTREND],Middle,-5,Moderate Negative Gamma,385,360,410,100,54.3,2.06,2.09,-0.34,377.24,339.91,250.57,28,NEUTRAL,-6.804205515,391.5,-4,FALSE,+2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); -2 Mark-up phase,50.55,0.06,-0.18,1911
94,XLE,Energy,62.37,0.96,5,C - Marginal,Mark-up,[UPTREND],Bottom 33%,-1,Neutral / Transition Zone,62.5,61,64,53,26.1,1.17,1.08,1.15,,56.78,52.89,,NEUTRAL,-2.592534749,,,FALSE,+2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); -2 Mark-up phase,50.55,0.06,-0.18,1911
95,CSCO,Communications Equipment,106.43,-0.01,5,C - Marginal,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,107.5,105,110,33,29.9,1.08,0.64,-0.13,110.26,113.27,96.24,48,NEUTRAL,-1.215890106,109.29,-2.616890841,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip,50.55,0.06,-0.18,1911
96,INFQ,Technology (Quantum Computing),13.83,-1.64,5,C - Marginal,Accumulation,[SPRING] (SOS),Middle,0,Neutral / Transition Zone,14.25,11.5,17,8,87.5,1.26,0.16,-1.49,13.12,11.76,12.52,48,NEUTRAL,7.710280374,13.45,2.82527881,FALSE,+2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume),50.55,0.06,-0.18,1911
97,NUE,Steel Production & Recycling,246.98,0.54,5,C - Marginal,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,240,230,250,,,,,,,,,,NEUTRAL,-5.255485653,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Below SMA200,50.55,0.06,-0.18,1911
98,GSK,Healthcare (Pharmaceuticals),49.71,-1.99,4,C - Marginal,Mark-down,[DOWNTREND],Middle,1,Neutral / Transition Zone,51.5,50,53,35,24.3,1.06,0.67,-1.99,50.33,51.04,52.4,41,NEUTRAL,-1.153310797,50.33,-1.23186966,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; +1 Below SMA200,50.55,0.06,-0.18,1911
99,DD,Specialty Materials & Chemicals,130.9,-0.64,4,C - Marginal,Mark-down,[DOWNTREND],Middle,2,Neutral / Transition Zone,132.5,115,150,34,30.4,0.55,0.43,-0.7,131.31,136.44,137.25,42,NEUTRAL,2.626421011,129.51,1.073276195,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; +1 Below SMA200,50.55,0.06,-0.18,1911
100,VRTX,Biotechnology,516.34,0.26,4,C - Marginal,Mark-up,[UPTREND],Bottom 33%,0,Neutral / Transition Zone,495,460,530,21,27.8,1.21,2.57,0.26,522.09,511.1,470.54,39,UPTREND,0.600085727,516.94,-0.116067629,FALSE,+2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +2 Volume ratio > 1.2x (capitulation volume); -2 Mark-up phase,50.55,0.06,-0.18,1911
101,ORCL,Technology (Software),144.52,-3.08,4,C - Marginal,Mark-up,[UPTREND],Bottom 33%,-2,Neutral / Transition Zone,145,140,150,19,48.7,0.74,0.34,-3.15,148.45,141.16,165.99,76,NEUTRAL,0.921787709,148.6,-2.745625841,FALSE,+2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; -2 Mark-up phase,50.55,0.06,-0.18,1911
102,APD,Industrial Gases,286.97,-0.31,4,C - Marginal,Mark-down,[MARKDOWN],Bottom 33%,2,Neutral / Transition Zone,280,280,280,15,22.9,0.79,0.08,-0.31,293.54,299.05,284.02,42,NEUTRAL,-0.038316845,288.18,-0.419876466,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range,50.55,0.06,-0.18,1911
103,CRWV,Technology,86.9,0.16,4,C - Marginal,Accumulation,[SPRING] (SOS),Bottom 33%,2,Neutral / Transition Zone,87.5,85,90,6,71.4,1.18,0.27,0.05,86.23,85,92.12,46,NEUTRAL,4.25914817,84.91,2.343657991,FALSE,+2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200,50.55,0.06,-0.18,1911
104,AVGO,Semiconductors & Infrastructure Software,354.99,-2.62,4,C - Marginal,Mark-down,[DOWNTREND],Middle,2,Neutral / Transition Zone,360,350,370,4,35.4,0.85,0.55,-2.6,361.37,379.76,369.1,77,NEUTRAL,4.559512238,356.35,-0.381647257,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; +1 Below SMA200,50.55,0.06,-0.18,1911
105,HUBB,Industrials,463.7,1.06,4,C - Marginal,Mark-down,[DOWNTREND],Top 33%,-1,Neutral / Transition Zone,440,400,480,,,,,,,,,,DOWNTREND,5.739630128,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200; +1 DOWNTREND confluence badge; -2 Top-33% of range,50.55,0.06,-0.18,1911
106,MA,Transaction Processing Services,559.92,0.72,4,C - Marginal,Mark-up,[UPTREND],Bottom 33%,-4,Moderate Negative Gamma,561.25,560,562.5,,,,,,,,,,NEUTRAL,-1.379128137,,,FALSE,+2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; -2 Mark-up phase,50.55,0.06,-0.18,1911
107,OKLO,Nuclear Energy / Advanced Reactors,38.82,-4.03,4,C - Marginal,Mark-down,[DOWNTREND],Middle,1,Neutral / Transition Zone,39,38,40,,68.3,0.66,0.5,-3.98,39.87,41.72,62.24,47,NEUTRAL,8.983717013,39.05,-0.588988476,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; +1 Below SMA200,50.55,0.06,-0.18,1911
108,WDAY,Human Capital Management Software,192.38,2.2,4,C - Marginal,Mark-up,[UPTREND],Bottom 33%,-1,Neutral / Transition Zone,195,190,200,,,,,,,,,,NEUTRAL,2.460587985,,,FALSE,+2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; -2 Mark-up phase,50.55,0.06,-0.18,1911
109,MDT,Medical Devices,89.3,-1.62,3,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,2,Neutral / Transition Zone,90.5,90,91,78,30.6,1.16,0.58,-1.62,91.73,88.86,89.21,54,UPTREND,-3.563714903,92.04,-2.976966536,FALSE,+2 Bottom-33% of 52W range; +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); -2 Mark-up phase,48.98,-0.23,-0.3,9199
110,GM,Automobile Manufacturers,83.77,0.38,3,D - No Edge / Avoid,Accumulation,[SPRING] (SOS),Middle,1,Neutral / Transition Zone,85.5,85,86,76,41.8,0.66,1.12,0.38,85.14,84.96,80.56,26,NEUTRAL,-0.616917784,84.57,-0.945961925,FALSE,+1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich),48.98,-0.23,-0.3,9199
111,XLV,Health Care,168.8,-0.64,3,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,-1,Neutral / Transition Zone,170,168,172,51,16.7,1,0.67,-0.61,,151.27,152.55,,NEUTRAL,0.613935745,,,FALSE,+2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); -2 Mark-up phase,48.98,-0.23,-0.3,9199
112,GRID,Smart Grid Infrastructure ETF,179.59,-1.79,3,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,0,Neutral / Transition Zone,177.5,165,190,48,23.4,1.14,2.33,-1.79,,171.05,155.29,,DOWNTREND,3.070477502,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Dealer gamma <= 0 (short/neutral); +1 DOWNTREND confluence badge; -2 Top-33% of range,48.98,-0.23,-0.3,9199
113,ONTO,Semiconductor Metrology,282.31,-0.53,3,D - No Edge / Avoid,Mark-down,[DOWNTREND],Middle,1,Neutral / Transition Zone,305,280,330,44,70.5,0.7,1.08,-0.53,271.21,283.09,246.81,42,NEUTRAL,15.87177803,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip,48.98,-0.23,-0.3,9199
114,OXY,Energy (Oil & Gas),57.36,1.86,3,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,-1,Neutral / Transition Zone,58.5,57,60,32,31.9,0.97,0.47,1.83,59.34,58.14,53.34,46,NEUTRAL,-3.369272237,58.99,-2.7631802,FALSE,+2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; -2 Mark-up phase,48.98,-0.23,-0.3,9199
115,GEV,Electrical Equipment / Power Generation,951.82,0.16,3,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,-1,Neutral / Transition Zone,930,860,1000,18,47.2,0.73,1.29,0.12,941.65,980.61,903.68,34,DOWNTREND,2.889448594,933.99,1.909014015,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Dealer gamma <= 0 (short/neutral); +1 DOWNTREND confluence badge; -2 Top-33% of range,48.98,-0.23,-0.3,9199
116,SPY,S&P 500 Index,767.81,-0.72,3,D - No Edge / Avoid,Accumulation,[SPRING] (SOS),Top 33%,-10,Extreme Negative Gamma,770,770,770,9,12.5,1.34,1.24,-0.72,,673.86,702.76,,[!!] BULL CONFIRM,1.824812678,,,FALSE,+2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); -2 Top-33% of range,48.98,-0.23,-0.3,9199
117,AES,Independent Power / Renewable Energy,14.81,-0.07,3,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,0,Neutral / Transition Zone,15,15,15,1,5.6,1.35,0.39,-0.11,14.79,14.77,14.64,40,UPTREND,0,14.82,-0.067476383,FALSE,+2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); -2 Mark-up phase,48.98,-0.23,-0.3,9199
118,FLEX,Technology (Quantum Computing),112.3,-1.88,3,D - No Edge / Avoid,Mark-down,[DOWNTREND],Middle,2,Neutral / Transition Zone,105,95,115,,,,,,,,,,NEUTRAL,4.077849861,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Below SMA200,48.98,-0.23,-0.3,9199
119,HON,Diversified Industrial Conglomerate,212.57,0.34,3,D - No Edge / Avoid,Mark-down,[DOWNTREND],Middle,1,Neutral / Transition Zone,212.5,205,220,,,,,,,,,,NEUTRAL,2.364441876,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Below SMA200,48.98,-0.23,-0.3,9199
120,JBL,Technology (Quantum Computing),308.75,-0.07,3,D - No Edge / Avoid,Mark-down,[DOWNTREND],Middle,1,Neutral / Transition Zone,305,290,320,,,,,,,,,,NEUTRAL,3.872291751,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Below SMA200,48.98,-0.23,-0.3,9199
121,KO,Soft Drinks & Beverages,88.09,-0.59,2,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,1,Neutral / Transition Zone,88,86,90,50,19.1,0.82,0.62,-0.55,87.97,87.05,79.17,26,UPTREND,0.250369865,88.06,0.034067681,FALSE,+2 Bottom-33% of 52W range; +2 IV Rank >= 50 (premium rich); -2 Mark-up phase,48.98,-0.23,-0.3,9199
122,XLC,Communication,112.56,-0.85,2,D - No Edge / Avoid,Accumulation,[SPRING] (SOS),Middle,1,Neutral / Transition Zone,115,113,117,38,16.6,1.19,0.46,-0.85,,114.64,113.65,,NEUTRAL,-0.389380531,,,FALSE,+1 Spot below gamma flip; +1 Below SMA200,48.98,-0.23,-0.3,9199
123,MOD,Thermal Management / HVAC,193.11,-1.45,2,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,3,Neutral / Transition Zone,202.5,195,210,37,69.3,0.86,0.21,-0.13,189.69,201.4,212.25,33,NEUTRAL,6.584611988,189.15,2.093576527,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; +1 Below SMA200; -2 Top-33% of range,48.98,-0.23,-0.3,9199
124,COHR,Technology (Quantum Computing),300.6,-3.15,2,D - No Edge / Avoid,Mark-down,[DOWNTREND],Middle,1,Neutral / Transition Zone,285,300,270,35,72.4,0.91,1.23,-3.12,296.91,296.71,283.75,41,NEUTRAL,3.680198669,301.27,-0.222391874,FALSE,+2 Capitulation phase (Mark-down/Distribution),48.98,-0.23,-0.3,9199
125,DIS,Broadcasting & Entertainment,103.49,-0.33,2,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,1,Neutral / Transition Zone,103.5,102,105,22,24.1,0.99,0.5,-0.83,105.44,102.88,104.03,49,UPTREND,-3.253248574,105.07,-1.503759398,FALSE,+2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200; -2 Mark-up phase,48.98,-0.23,-0.3,9199
126,TEVA,Healthcare (Pharmaceuticals),39.01,-1.29,2,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,0,Neutral / Transition Zone,38.75,37.5,40,14,32.4,1.25,0.77,-1.29,37.83,35.5,33.21,41,UPTREND,1.245782507,38.79,0.567156484,FALSE,+2 Dealer gamma <= 0 (short/neutral); +2 Volume ratio > 1.2x (capitulation volume); -2 Mark-up phase,48.98,-0.23,-0.3,9199
127,BRK-B,Insurance & Investment Conglomerate,507.17,0.71,2,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,4,Moderate Positive Gamma,507.5,500,515,,,,,,,,,,UPTREND,-2.594683875,,,FALSE,+2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200; -2 Mark-up phase,48.98,-0.23,-0.3,9199
128,DVN,Oil & Gas Exploration & Production,48.04,2.37,2,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,0,Neutral / Transition Zone,50.5,48,53,,,,,,,,,,UPTREND,-0.825763832,,,FALSE,+2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; -2 Mark-up phase,48.98,-0.23,-0.3,9199
129,MCHP,Microcontrollers & Mixed-Signal,75.53,-0.38,2,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,2,Neutral / Transition Zone,76.5,73,80,,,,,,,,,,NEUTRAL,8.535709154,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; +1 Below SMA200; -2 Top-33% of range,48.98,-0.23,-0.3,9199
130,T,Telecommunications Providers,25.32,0.8,2,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,2,Neutral / Transition Zone,26,25.5,26.5,,,,,,,,,,UPTREND,-2.163833076,,,FALSE,+2 Bottom-33% of 52W range; +1 Spot below gamma flip; +1 Below SMA200; -2 Mark-up phase,48.98,-0.23,-0.3,9199
131,TTMI,Technology (Quantum Computing),125.82,-1.29,2,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,2,Neutral / Transition Zone,132.5,125,140,,,,,,,,,,NEUTRAL,10.36842105,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; +1 Below SMA200; -2 Top-33% of range,48.98,-0.23,-0.3,9199
132,SAP,Enterprise Application Software,210.62,-0.03,1,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,1,Neutral / Transition Zone,217.5,215,220,78,48.8,0.73,0.68,-0.03,210.66,196.69,195.06,27,UPTREND,-1.210131332,211.55,-0.439612385,FALSE,+1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); -2 Mark-up phase,48.98,-0.23,-0.3,9199
133,JNJ,Pharmaceuticals & Medical Devices,269.17,-0.01,1,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,3,Neutral / Transition Zone,270,265,275,74,25.7,0.99,0.74,-0.42,268.1,263.54,238.98,19,UPTREND,0.707123616,268.95,0.081799591,FALSE,+1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); -2 Mark-up phase,48.98,-0.23,-0.3,9199
134,XOM,Energy (Oil & Gas),161.28,1.63,1,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,2,Neutral / Transition Zone,163.75,162.5,165,60,29.1,0.85,0.53,1.6,161.81,158.17,147.12,36,UPTREND,-1.255127656,162.07,-0.487443697,FALSE,+1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); -2 Mark-up phase,48.98,-0.23,-0.3,9199
135,SLB,Oil Field Services,51.87,-0.48,1,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,1,Neutral / Transition Zone,55.5,53,58,48,37.3,0.51,0.89,-0.3,53.81,52.32,49.96,22,UPTREND,-0.822179732,53.06,-2.242744063,FALSE,+2 Bottom-33% of 52W range; +1 Spot below gamma flip; -2 Mark-up phase,48.98,-0.23,-0.3,9199
136,COP,Oil & Gas Exploration & Production,128.09,2.25,1,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,1,Neutral / Transition Zone,128.5,122,135,46,31,0.73,1.02,2.25,131.86,125.91,115.07,42,UPTREND,-3.357476988,131.65,-2.704139765,FALSE,+2 Bottom-33% of 52W range; +1 Spot below gamma flip; -2 Mark-up phase,48.98,-0.23,-0.3,9199
137,SPCX,Telecommunications Providers,148.36,-4.11,1,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,-7,Moderate Negative Gamma,152.5,150,155,35,47.8,0.69,0.84,-3.72,,134.76,142.92,40,NEUTRAL,-1.670201485,,,FALSE,+2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; -2 Mark-up phase,48.98,-0.23,-0.3,9199
138,WDC,Storage Solutions,473.69,1.96,1,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,3,Neutral / Transition Zone,495,490,500,32,70.8,0.78,1.02,1.68,452.35,481.71,385.87,35,NEUTRAL,13.60289709,444.71,6.516606328,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; -2 Top-33% of range,48.98,-0.23,-0.3,9199
139,AMAT,Semiconductor Manufacturing Equipment,474.38,0.41,1,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,4,Moderate Positive Gamma,480,460,500,30,53.3,0.69,0.91,0.36,458.8,498.35,417.26,49,NEUTRAL,14.20386152,448.85,5.687868999,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Spot below gamma flip; -2 Top-33% of range,48.98,-0.23,-0.3,9199
140,NEM,Gold Mining,123.55,-2.92,1,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,2,Neutral / Transition Zone,129.5,129,130,18,43,0.69,0.85,-2.88,123.9,112.55,110.2,28,UPTREND,1.470105125,124.9,-1.080864692,FALSE,+2 Bottom-33% of 52W range; +1 Spot below gamma flip; -2 Mark-up phase,48.98,-0.23,-0.3,9199
141,QUBT,Technology (Quantum Computing),9.12,0.44,1,D - No Edge / Avoid,Accumulation,[SOS] (Buying on Demand),Top 33%,1,Neutral / Transition Zone,8.5,8,9,11,68.8,2.33,0.25,0.22,8.37,8.29,9.36,50,NEUTRAL,14,8.5,7.294117647,FALSE,+2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; -2 Top-33% of range,48.98,-0.23,-0.3,9199
142,TGT,General Merchandise Retail,156.26,-1.74,1,D - No Edge / Avoid,Mark-up,[UPTREND],Bottom 33%,2,Neutral / Transition Zone,157.5,155,160,8,29.6,0.73,0.94,-1.74,158.06,152.16,125.98,55,UPTREND,1.021463667,158.26,-1.263743207,FALSE,+2 Bottom-33% of 52W range; +1 Spot below gamma flip; -2 Mark-up phase,48.98,-0.23,-0.3,9199
143,NBIS,Technology,226.61,-4.03,1,D - No Edge / Avoid,Accumulation,[SPRING] (SOS),Middle,3,Neutral / Transition Zone,235,220,250,3,78.6,0.73,0.72,-3.44,221.67,212.22,161.39,,NEUTRAL,8.234226489,224.45,0.962352417,FALSE,+1 Spot below gamma flip,48.98,-0.23,-0.3,9199
144,EL,Personal Products / Cosmetics,98.83,-1.46,1,D - No Edge / Avoid,Accumulation,[SPRING] (SOS),Middle,1,Neutral / Transition Zone,97.5,96,99,,,,,,,,,,NEUTRAL,3.378661088,,,FALSE,+1 Below SMA200,48.98,-0.23,-0.3,9199
145,ICE,Financial Infrastructure & Exchanges,156.35,2.24,1,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,-1,Neutral / Transition Zone,156.25,155,157.5,,,,,,,,,,NEUTRAL,1.46009085,,,FALSE,+2 Dealer gamma <= 0 (short/neutral); +1 Below SMA200; -2 Mark-up phase,48.98,-0.23,-0.3,9199
146,MAR,"Hotels, Resorts & Cruise Lines",351.66,1.03,1,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,2,Neutral / Transition Zone,347.5,340,355,,,,,,,,,,NEUTRAL,4.982535749,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Below SMA200; -2 Top-33% of range,48.98,-0.23,-0.3,9199
147,TXN,Analog Semiconductors,272.62,0.45,1,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,2,Neutral / Transition Zone,262.5,255,270,,,,,,,,,,NEUTRAL,4.584340354,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +1 Below SMA200; -2 Top-33% of range,48.98,-0.23,-0.3,9199
148,CVX,Integrated Oil & Gas,205.53,1.54,0,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,2,Neutral / Transition Zone,205,200,210,62,27.4,0.84,0.76,1.54,207.2,199.31,184.17,36,UPTREND,-2.841070247,208.42,-1.386623165,FALSE,+2 IV Rank >= 50 (premium rich); -2 Mark-up phase,48.98,-0.23,-0.3,9199
149,PG,Household & Personal Products,147.45,-0.52,0,D - No Edge / Avoid,Mark-up,[MARKUP],Top 33%,5,Moderate Positive Gamma,147.75,143,152.5,51,22.9,0.79,0.65,-0.56,145.99,146.12,147.46,28,UPTREND,0.285655989,146.56,0.607259825,FALSE,+1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +1 Below SMA200; -2 Top-33% of range; -2 Mark-up phase,48.98,-0.23,-0.3,9199
150,CRM,Application Software,237.58,1.84,0,D - No Edge / Avoid,Mark-up,[UPTREND],Middle,-6,Moderate Negative Gamma,232.5,220,245,45,39.8,0.74,0.34,1.91,237.49,208.39,201.58,69,NEUTRAL,-5.172826694,242.18,-1.899413659,FALSE,+2 Dealer gamma <= 0 (short/neutral); -2 Mark-up phase,48.98,-0.23,-0.3,9199
151,AMGN,Healthcare (Biopharmaceuticals),406.09,-1.01,0,D - No Edge / Avoid,Accumulation,[SOS] (Buying on Demand),Middle,2,Neutral / Transition Zone,392.5,395,390,37,26.7,0.95,0.73,-1.01,401.08,400.87,360.62,40,NEUTRAL,7.902218679,393.82,3.115636585,FALSE,,48.98,-0.23,-0.3,9199
152,KLAC,Semiconductor Process Control Equipment,187.86,-0.24,0,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,2,Neutral / Transition Zone,177.5,175,180,34,57.8,0.93,0.85,-0.17,180.46,191.79,174.61,41,NEUTRAL,12.24904398,178.54,5.220118741,FALSE,+2 Capitulation phase (Mark-down/Distribution); -2 Top-33% of range,48.98,-0.23,-0.3,9199
153,LRCX,Wafer Fabrication Equipment,307.28,-1.18,0,D - No Edge / Avoid,Mark-down,[DOWNTREND],Top 33%,3,Neutral / Transition Zone,300,300,300,32,61.3,1.04,1.34,-1.27,297.28,307.38,267.2,34,NEUTRAL,14.13289752,292.99,4.877299567,FALSE,+2 Capitulation phase (Mark-down/Distribution); -2 Top-33% of range,48.98,-0.23,-0.3,9199
